회사명,카테고리,설명,링크
BitBrand,CRYPTO & DIGITAL ASSETS,Bitbrand is the first platform to offer blockchain-certified luxury digital products with tangible utility: customize your personal devices.,https://www.plugandplaytechcenter.com/startup/bitbrand-com
Bitgo,BRAND & RETAIL,"BitGo is a leader in institutional custody, staking, and trading of digital assets.",https://www.plugandplaytechcenter.com/startup/bitgo-com
bitHuman,BRAND & RETAIL,"bitHuman creates advanced interactive AI agents for personalized, lifelike conversations in sales, marketing, and customer operations, with successful deployments in convenience, fashion, and soon big box retail, aiming to enrich the human experience on a large scale.",https://www.plugandplaytechcenter.com/startup/bithuman-io
BitPesa,SUPPLY CHAIN,"BitPesa is a digital market-maker in frontier currencies, enabling businesses to reduce their risk, make & collect payments from suppliers with ease, and lower the cost of operating in frontier markets",https://www.plugandplaytechcenter.com/startup/bitpesa-co
"BitRipple, Inc.",SMART CITIES,BitRipple solutions enable end-to-end delivery of data with ultra-low latency across all types of challenging network environments,https://www.plugandplaytechcenter.com/startup/bitripple-com
Bitstack,FINTECH,Save and invest in bitcoin on autopilot.,https://www.plugandplaytechcenter.com/startup/bitstack-fr
Bitwage,FINTECH,"Bitwage is the leading provider of Bitcoin, Cryptocurrency & Stablecoin payroll, invoicing & benefits.",https://www.plugandplaytechcenter.com/startup/bitwage-com
Bkper,ENTERPRISE & AI,"Bkper simplifies finances, with a collaborative bookkeeping workspace for G Suite.",https://www.plugandplaytechcenter.com/startup/bkper-com
Black Owl Systems Inc.,ENTERPRISE & AI,"Black Owl Systems simplifies lease accounting for businesses of any size by offering software that automates calculations, reporting, and integrates with other business systems.",https://www.plugandplaytechcenter.com/startup/blackowlsystems-com
Blackfern Data,ENTERPRISE & AI,We aim to reduce the workload of business owners and staff by automating key workflows and bringing AI Teammates© that can perform intelligent tasks at your command.,https://www.plugandplaytechcenter.com/startup/blackferndata-com
Blacktag,MEDIA & ADVERTISING,Blacktag is a global platform for Black content.,https://www.plugandplaytechcenter.com/startup/blacktag-com
Bland AI,ENTERPRISE & AI,"Bland AI automates enterprise phone operations with realistic voice agents, enhancing customer interactions and operational efficiency.",https://www.plugandplaytechcenter.com/startup/bland-ai
Blazar,HEALTH,Blazar is predicting response to cancer immunotherapies.,https://www.plugandplaytechcenter.com/startup/blazar-ai
Blerify,CRYPTO & DIGITAL ASSETS,"Issue and verify ID Credentials with AI & Quantum Security and Privacy, 25x cheaper and 50x safer than biometric verification, using Next-Generation Digital ID Wallets.",https://www.plugandplaytechcenter.com/startup/blerify-com
Blickshift,MOBILITY,Provides software solutions for the efficient analysis of eye movements. Blickshift drastically reduces the time and effort traditionally required to analyze complex and large eye-tracking experiments in just hours.,https://www.plugandplaytechcenter.com/startup/blickshift-com
Blinkfire Analytics,BRAND & RETAIL,Blinkfire Analytics uses artificial intelligence and computer vision to analyze multimedia resources and generate reports.,https://www.plugandplaytechcenter.com/startup/blinkfire-com
Blockdaemon,ENERGY,Blockdaemon is the provider of a blockchain nodes as a service platform designed to empower businesses to simply and efficiently manage blockchain applications.,https://www.plugandplaytechcenter.com/startup/blockdaemon-com
BlockRe,FINTECH,"BlockRe is the world’s first and leading cryptoasset insurance company, and a provider of a comprehensive underwriting and risk assessment tool designed to aid in the issuing of insurance policies in the cryptoasset and blockchain space.",https://www.plugandplaytechcenter.com/startup/blockre-io
Blomso,SUSTAINABILITY,Precise data metrics for agriculture providing real-time sensor monitoring and automation of the costly soil testing and consulting processes.,https://www.plugandplaytechcenter.com/startup/blomso-ag-com
Bloomlife,INSURTECH,Women's health company combining clinically validated wearables with data analytics to improve birth outcomes.,https://www.plugandplaytechcenter.com/startup/bloomlife-com
Blu Cocoon Digital,FOOD & BEVERAGE,"Blu Cocoon Digital is a digital transformation company that provides machine learning, business analytics, and legacy modernization.",https://www.plugandplaytechcenter.com/startup/blucocoondigital-com
Blue Century,ENERGY,Blue Century is pioneering a transformative approach to corrosion management through its AI-powered platform for industrial assets to address the $2.5T annual global corrosion problem.,https://www.plugandplaytechcenter.com/startup/bluecentury-co
blueBell Village,HEALTH,Restoring the personhood and independence of those living with dementia™,https://www.plugandplaytechcenter.com/startup/bluebellvillage-ca
Bluebird,SUSTAINABILITY,"Bluebird is software platform that helps brands produce low carbon + waste products and create authentic, substantiated sustainability stories.",https://www.plugandplaytechcenter.com/startup/bluebirdclimate-com
Blueboard,SUPPLY CHAIN,"Blueboard is the employee rewards and recognition platform for the modern workplace. Blueboard enables companies to reward top employees with memorable, personal and shareable experiences.",https://www.plugandplaytechcenter.com/startup/blueboard-com
Bluepond AI,INSURTECH,BluePond.Ai is a GenAi based automation and guided decisioning platform for P&C Insurance.,https://www.plugandplaytechcenter.com/startup/bluepond-ai
Bluespace,MOBILITY,Provide accessible and sustainable urban mass transit.,https://www.plugandplaytechcenter.com/startup/bluespace-ai
BlueTape,카테고리 없음,BlueTape is a payment and financing platform for the construction industry.,https://www.plugandplaytechcenter.com/startup/bluetape-com
BluumBio,SUSTAINABILITY,"BluumBio provides bio-based technologies that rapidly clean soil, air, and water.",https://www.plugandplaytechcenter.com/startup/bluumbio-com
Boardwalktech,ENERGY,Boardwalktech provides patented digital ledger technology for enterprise information management applications.,https://www.plugandplaytechcenter.com/startup/boardwalktech-com
Bochito,FINTECH,Bochito helps everyday commuters to share their daily trips within their university or company community in an easy and fast way.,https://www.plugandplaytechcenter.com/startup/bochitoapp-com
Bodyguard,FINTECH,"Our expert text moderation solution helps protect individuals, families and businesses against toxic content, cyberharassment and hate speech.",https://www.plugandplaytechcenter.com/startup/bodyguard-ai
BokDoc,HEALTH,1st surgery & medical procedures marketplace in MENA,https://www.plugandplaytechcenter.com/startup/bokdoc-com
Boltzmann,FINTECH,Boltzmann,https://www.plugandplaytechcenter.com/startup/boltzmann-io
Bonafide,BRAND & RETAIL,"Bonafide is a data orchestration platform that connects brands' backend systems to Generative AI platforms like ChatGPT/Perplexity to ensure brands appear more frequently, more favorably, and, most importantly, display accurate product information.",https://www.plugandplaytechcenter.com/startup/bonafide-ai
Bond Pet Foods,FOOD & BEVERAGE,"We work with biotechnology to make pet food from animal protein like chicken, turkey and fish, without the animal.",https://www.plugandplaytechcenter.com/startup/bondpets-com
Bonfire Analytics,HEALTH,Bonfire Analytics fuels healthcare sales through predictive market intelligence,https://www.plugandplaytechcenter.com/startup/bonfireanalytics-com
BookingPal,REAL ESTATE & CONSTRUCTION,"BookingPal is a distribution platform for vacation rental properties, resorts, campgrounds, and park owners.",https://www.plugandplaytechcenter.com/startup/mybookingpal-com
boopos,FINTECH,"boopos provides flexible, useful financing for e-commerce, SaaS businesses and their owners.",https://www.plugandplaytechcenter.com/startup/boopos-com
Boost Biomes,FOOD & BEVERAGE,Harnessing microbial interactions to develop sustainable solutions for agriculture and food preservation.,https://www.plugandplaytechcenter.com/startup/boostbiomes-com
BORN,DEEPTECH,BORN is the world's first private B2B platform that connects a global network of design-led lifestyle brands and retail buyers.,https://www.plugandplaytechcenter.com/startup/born-com
BosonQ Psi,SMART CITIES,Enabling Simulations for Quantum Paradigm,https://www.plugandplaytechcenter.com/startup/bosonqpsi-com
Bosta,MOBILITY,Bosta is an on-demand delivery service that allows people and businesses in dense cities to send and get things easier with a push of a button.,https://www.plugandplaytechcenter.com/startup/bosta-co
Bot Orange,BRAND & RETAIL,"Bot Orange is a customer communication system built on WeChat that integrates sales, marketing, and more.",https://www.plugandplaytechcenter.com/startup/botorange-com
BOTfriends,BRAND & RETAIL,BOTfriends is one of the leading chatbot specialists for enterprises.,https://www.plugandplaytechcenter.com/startup/botfriends-de
BrandPal,BRAND & RETAIL,"Meet BrandPal, an AI-powered marketing automation SaaS startup",https://www.plugandplaytechcenter.com/startup/gobrandpal-com
Brankas,FINTECH,"Brankas is bringing Open Banking to Southeast Asia. Their vision is to make modern financial services available to everyone by working with e-commerce, SMEs, Fortune 100, 500, and ASEAN 50 companies.",https://www.plugandplaytechcenter.com/startup/brank-as
Breathe EV,MOBILITY,Premier Multi-family Charging Solutions - We make it easy to bring charging to your tenants,https://www.plugandplaytechcenter.com/startup/breathe-ev-com
Breez,INSURTECH,"Breez is the world's first smartwatch-centric auto insurer and technology provider. We use smartwatches as a way to acquire customers, measure and influence risk, provide claims efficiencies & other services. Our customers earn a smartwatch at no additional cost when they drive well.",https://www.plugandplaytechcenter.com/startup/breez-insure
BreezoMeter,ENERGY,"BreezoMeter provides real time and hyper-local air quality, wildfire and health-focused environmental insights for consumers and businesses.",https://www.plugandplaytechcenter.com/startup/breezometer-com
Breinify,FOOD & BEVERAGE,Personalization at Scale - Breinify is the leading time-driven AI platform for predicting and acting on an individual's highly dynamic interests.,https://www.plugandplaytechcenter.com/startup/breinify-com
Breinify,BRAND & RETAIL,Predictive Personalization at Scale,https://www.plugandplaytechcenter.com/startup/home-breinify-ai
Brev.io,INSURTECH,AI-powered goal management software for modern teams.,https://www.plugandplaytechcenter.com/startup/brev-io
Brickbro,ENERGY,Brickbro is a real estate marketplace,https://www.plugandplaytechcenter.com/startup/brickbro-com
Bridge,BRAND & RETAIL,The path towards upward economic mobility. The only debit card that helps you earn money.,https://www.plugandplaytechcenter.com/startup/bridgemoney-co
Brighthive,ENTERPRISE & AI,"BrightHive's data trust management platform helps networks of organizations securely, responsibly, and ethically share and use their combined data to solve shared business problems.",https://www.plugandplaytechcenter.com/startup/brighthive-io
Brightly,FOOD & BEVERAGE,High-integrity carbon credits funding food recovery in your community.,https://www.plugandplaytechcenter.com/startup/justbrightly-com
Brightspot,DEEPTECH,Brightspot distills leading content from some of the planet's most successful professional communities and leaders so that you can get the inside track on personal growth.,https://www.plugandplaytechcenter.com/startup/getbrightspot-com
Brinter,MEDTECH,Brinter platform develops the first-ever 3D bioprinted tissue for tendon repairs with unprecedented patient benefits.,https://www.plugandplaytechcenter.com/startup/brinter-com
Brite Health,HEALTH,"AI technology for engagement and compliance in clinical trials, postmarketing, and commercialization",https://www.plugandplaytechcenter.com/startup/britehealth-co
Brix,ENTERPRISE & AI,End-to-End Remote Talent Hiring and Management Platform,https://www.plugandplaytechcenter.com/startup/joinbrix-com
Brix Insurance,INSURTECH,We provide streamlined life insurance products and unique life insurance financial vehicles to serve the under 45 market.,https://www.plugandplaytechcenter.com/startup/brixinsurance-com
Broker Buddha,INSURTECH,"Broker Buddha helps insurance agents, wholesalers and carriers streamline operations through interactive, customer friendly online smart forms. Our workflow platform helps agencies, wholesalers and carriers save time and improve the customer experience.",https://www.plugandplaytechcenter.com/startup/brokerbuddha-com
Bugpilot,ENTERPRISE & AI,"We’re on a mission to help SaaS companies reduce the impact of bugs on their business, leveraging AI to automate detection, prioritization, and fixing.",https://www.plugandplaytechcenter.com/startup/adopto-it
BuildBear Labs,CRYPTO & DIGITAL ASSETS,BuildBear Labs Platform for testing dApps at scale.,https://www.plugandplaytechcenter.com/startup/buildbear-io
BuildStream,DEEPTECH,The managed marketplace for labour and services in energy and construction,https://www.plugandplaytechcenter.com/startup/buildstream-co
Built AI,ENERGY,Intelligent screening and prospecting for commercial real estate,https://www.plugandplaytechcenter.com/startup/builtai-co
Bump,REAL ESTATE & CONSTRUCTION,Provider of wearable device for workplace safety,https://www.plugandplaytechcenter.com/startup/bump-space-com
Bump by Ownors AI,MOBILITY,The #1 Fintech & AI-Driven Platform For Mentorship & Managed Micro-Advances For Creators,https://www.plugandplaytechcenter.com/startup/usebump-com
Bumpa,BRAND & RETAIL,Mobile-based inventory management and online store builder designed for the African market.,https://www.plugandplaytechcenter.com/startup/getbumpa-com
Butlr.io,MOBILITY,People Sensing Platform using AIoT thermal sensors to detect human presence and activity for spatial intelligence and insights.,https://www.plugandplaytechcenter.com/startup/butlr-io
Buyable,FINTECH,Buyable is an auto lending platform that drives leads and co-underwrites loans allowing banks to lend to credit diverse borrowers at scale with minimal risk.,https://www.plugandplaytechcenter.com/startup/itsbuyable-com
ByFusion,SUSTAINABILITY,Reshape the future of plastic by recycling the non recyclable.,https://www.plugandplaytechcenter.com/startup/byfusion-com
Bypa-ss,HEALTH,Bypa-ss is digitizing healthcare information exchange between healthcare providers to deliver best quality of care to their patients.,https://www.plugandplaytechcenter.com/startup/bypa-ss-com
C-Zero,SUSTAINABILITY,Low Cost Ethylene from Industrial Off-Gas,https://www.plugandplaytechcenter.com/startup/c-zeroinc-com
Cadence Cash,FINTECH,"Cadence eliminates bias in the credit approval process, promoting diverse credit and financing opportunities for small businesses.",https://www.plugandplaytechcenter.com/startup/cadencecash-com
Cafler,MOBILITY,"Cafler is the leading marketplace for car services online, and an AI- Operating System for mobility companies.",https://www.plugandplaytechcenter.com/startup/cafler-com
Camb.ai,SMART CITIES,Camb.ai is a generative AI content localization platform designed for media companies and content creators.,https://www.plugandplaytechcenter.com/startup/camb-ai
"Cambridge Terahertz, Inc",카테고리 없음,"Providing safety and security through terahertz imaging. Their cameras could be used to identify objects through small walls, like clothing or boxes.",https://www.plugandplaytechcenter.com/startup/thzcorp-com
CAMSENS GmbH,ANIMAL HEALTH,CAMSENS GmbH helps veterinarians and laboratories double the speed of pathogen detection using automation and AI.,https://www.plugandplaytechcenter.com/startup/camsens-de
Canatu,ENERGY,"Producer of flexible, stretchable, formable and transparent thin film electronics components using carbon nanomaterials.",https://www.plugandplaytechcenter.com/startup/canatu-com
CanDry technologies,FOOD & BEVERAGE,"CanDry revolutionized the agri-food dehydration with its innovative and sustainable low-temperature technology. Our mission is to prevent the nutritional loss in drying of your food, that you deserve to eat!",https://www.plugandplaytechcenter.com/startup/candrytechnologies-com
Capacitech Energy,SUSTAINABILITY,"Capacitech is a leader in high-power, space-efficient energy storage solutions. Our flexible PowerLink products bend around obstacles and fit into available space to enhance energy harvesting and energy storage resources.",https://www.plugandplaytechcenter.com/startup/capacitechenergy-com
CaPow,MOBILITY,Provider of robotic solutions for warehouses with perpetual power delivery technology,https://www.plugandplaytechcenter.com/startup/capow-tech-com
Capsule Corporation,AEROSPACE & DEFENSE,"Capsule corporation is an innovative start-up aiming at solving the in-space propulsion problem for Cubesats and Smallsats by offering a new water-based propulsion unit, called ""WaterCube"".",https://www.plugandplaytechcenter.com/startup/capsule-corp-biz
Capwell Services,SUSTAINABILITY,"Our system captures and destroys methane from leaking wells at the surface, creating a zero methane leak process from measurement to plugging",https://www.plugandplaytechcenter.com/startup/capwell-org
Car IQ,ENERGY,"Car IQ enable cars to automatically alert, schedule and pay for their own services.",https://www.plugandplaytechcenter.com/startup/cariq-xyz
carbmee,MOBILITY,The carbon management solution for complex supply chains,https://www.plugandplaytechcenter.com/startup/carbmee-com
CarboMat,SUSTAINABILITY,Transforming low-value waste by-products from Alberta into high-value carbon fiber.,https://www.plugandplaytechcenter.com/startup/carbomatinc-com
Carbon Energy,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),"""Carbon Energy let's you keep your business carbon free. We provide CDR credit based on our DAC(Direct Air Capture) technology. Our plant runs on an economic model that Captures Carbon, Returns Carbon as a Resource, and Produces Renewable Energy.""",https://www.plugandplaytechcenter.com/startup/carbonenergy-ai
Carbon One,FOOD & BEVERAGE,Food & Beverage's Trusted Partner for Carbon Intelligence,https://www.plugandplaytechcenter.com/startup/carbon-one-ca
Carbon Reform,SUSTAINABILITY,Recovering and recycling decentralized carbon emissions from commercial buildings,https://www.plugandplaytechcenter.com/startup/carbonreform-com
Carbon Removal,SUSTAINABILITY,Advantek Waste Management Services LLC is a full service waste management company providing recycling.,https://www.plugandplaytechcenter.com/startup/advantekwms-com
Carbon Ridge,ENERGY,Modular onboard carbon capture for maritime shipping.,https://www.plugandplaytechcenter.com/startup/carbonridge-net
Carbon To Stone,NEW MATERIALS & PACKAGING,Helping industry turn CO2 and residual materials into resources.,https://www.plugandplaytechcenter.com/startup/carbontostone-com
Carbon Utility,ADVANCED MANUFACTURING,We are addressing unavoidable hard-to-abate emissions through CO2 and H2 conversion to sustainable fuels and advanced materials starting by removing CO2 from air at low cost in a two-step process that creates green hydrogen as a byproduct.,https://www.plugandplaytechcenter.com/startup/carbonutility-com
CarbonGraph,ENERGY,Discover and share the carbon footprint of your products.,https://www.plugandplaytechcenter.com/startup/carbongraph-io
CarbonRun,SUSTAINABILITY,Healthy Rivers. Healthy Planet. Naturally.,https://www.plugandplaytechcenter.com/startup/carbonrun-io
Carchain,MOBILITY,"Carchain enables car owners to create and store uneditable, permanent vehicle records on the blockchain via NFTs.",https://www.plugandplaytechcenter.com/startup/thecarchain-com
Cardflight,FINTECH,CardFlight is committed to making payment acceptance easy for business owners.,https://www.plugandplaytechcenter.com/startup/cardflight-com
CardiaTec Biosciences,HEALTH,CardiaTec is a digital biotechnology venture combining the power of AI and expert talent to redesign cardiovascular drug discovery.,https://www.plugandplaytechcenter.com/startup/cardiatec-ai
Care Advisors,HEALTH,CareAdvisors builds technology platforms that enable the elimination of disparities and inequity in healthcare.,https://www.plugandplaytechcenter.com/startup/care-advisors-com
caresyntax,HEALTH,"caresyntax® is a technology and services platform that helps hospitals reduce surgical risk, boost efficiency, and improve outcomes.",https://www.plugandplaytechcenter.com/startup/caresyntax-com
Careteam Technologies,HEALTH,Careteam is a virtual care collaboration platform that works as a smart overlay across digital silos generating personalised plan of action for each patient and that everyone involved - from health teams to the patient and their family is on the same page.,https://www.plugandplaytechcenter.com/startup/getcareteam-com
"Carevive Systems, Inc.",HEALTH,Carevive Systems provides personalized and dynamic cancer care plans for patients,https://www.plugandplaytechcenter.com/startup/carevive-com
Cargo,MOBILITY,-,https://www.plugandplaytechcenter.com/startup/getcargo-io
Cariqa,MOBILITY,"App combining EV Charging, Battery Monitoring & Routing for EV users.",https://www.plugandplaytechcenter.com/startup/cariqa-com
CARM&A Health,HEALTH,"Empower healthcare with AI: Streamlined Assessments, Enhanced Efficiency and Improved Patient-Provider Communication",https://www.plugandplaytechcenter.com/startup/carmahealth-net
Cartesian Kinetics,SUPPLY CHAIN,"Cartesian Kinetics is an automation machinery manufacturing that helps to automate store-backs, darkstores, and MFCs.",https://www.plugandplaytechcenter.com/startup/cartesiankinetics-com
Cascading AI,FINTECH,Casca is an AI-powered loan origination system to reduce 90% of manual effort in small business and commercial lending.,https://www.plugandplaytechcenter.com/startup/cascading-ai
Cashew Research,FOOD & BEVERAGE,"We use progressive AI, mobile, video and data technologies bringing customer research into the modern era.",https://www.plugandplaytechcenter.com/startup/cashewresearch-com
cashex,FINTECH,Global Banking for Africans,https://www.plugandplaytechcenter.com/startup/cashex-app
Cashmere AI,FINTECH,AI-powered client acquisition and prospect intelligence for financial services.,https://www.plugandplaytechcenter.com/startup/cashmereai-com
Castia,FINTECH,Helping homeowners move to new homes before selling the previous one.,https://www.plugandplaytechcenter.com/startup/castia-com
causaLens,MOBILITY,Leading Causal AI and Time-Series Research - Autonomously discover value in data.,https://www.plugandplaytechcenter.com/startup/causalens-com
CBL Technologies (dba Cabal App),INSURTECH,Cabal is an application for entrepreneurs and micro-entrepreneurs that manages their finances.,https://www.plugandplaytechcenter.com/startup/cabal-app-com
Cellar Insights,FOOD & BEVERAGE,We help potato growers protect their hard-earned crop in storage Monitor storage facility conditions on your mobile device and take action to prevent excessive shrink or rot with smart remote monitoring.,https://www.plugandplaytechcenter.com/startup/cellarinsights-com
Celus,BRAND & RETAIL,"The smartest way to design electronics. Fully automated Schematics, BOM and PCB Floorplan with AI.",https://www.plugandplaytechcenter.com/startup/celus-io
Cence Power Inc.,ENERGY,"Industry leading direct current (DC) power distribution for LED lighting, telecom, and data centers",https://www.plugandplaytechcenter.com/startup/cencepower-com
Censia,MOBILITY,Censia is a people-obsessed company that believes talent is an organization’s most valuable asset.,https://www.plugandplaytechcenter.com/startup/censia-com
Centro Commerce,FOOD & BEVERAGE,"Centro is a procurement AI platform that automates, visualizes, and coordinates the full procurement process.",https://www.plugandplaytechcenter.com/startup/centrocommerce-com
Cerebro Sports,SPORTSTECH,Cerebro Sports helps basketball coaches in finding players with data.,https://www.plugandplaytechcenter.com/startup/cerebrosports-com
Ceres Technology,SUPPLY CHAIN,"Ceres uses AI to predict supply chain delays months in advance. We utilize over 25,000+ data sets to find trends and patterns to predict which suppliers and products are at most of delay. This helps companies to shift suppliers to fulfill and reduce the number of canceled orders.",https://www.plugandplaytechcenter.com/startup/cerestech-co
CERT Systems,ENERGY,CERT Systems makes essential chemicals without fossil fuels.,https://www.plugandplaytechcenter.com/startup/co2cert-com
Certivity,MOBILITY,"Certivity RegTech Software solution makes regulatory management smarter, more transparent, more efficient, and way cheaper.",https://www.plugandplaytechcenter.com/startup/certivity-io
ChainML,FINTECH,a comprehensive solution to integrate customizable generative AI into applications using production-grade AI agents.,https://www.plugandplaytechcenter.com/startup/chainml-net
Chainstats Pro,CRYPTO & DIGITAL ASSETS,"on-chain analysis platform built for analytics, data aggregation & multi-chain consensus in blockchain data",https://www.plugandplaytechcenter.com/startup/chainstats-pro
"Change Foods, Inc.",FOOD & BEVERAGE,"Change Foods recreates real cheese and dairy products using precision fermentation, producing products that are indistinguishable from the real thing!",https://www.plugandplaytechcenter.com/startup/changefoods-com
ChargeAfter,BRAND & RETAIL,ChargeAfter streamlines the distribution of credit into a single platform that retailers can implement rapidly both online and in-store.,https://www.plugandplaytechcenter.com/startup/chargeafter-com
Chatchamp,BRAND & RETAIL,Chatchamp is the guided selling solution for e-commerce companies with digital shopping assistants (chatbots).,https://www.plugandplaytechcenter.com/startup/chatchamp-com
"Checkerspot, Inc.",FOOD & BEVERAGE,Checkerspot designs high performance materials at a molecular level with technology at the nexus of biology and chemistry.,https://www.plugandplaytechcenter.com/startup/checkerspot-com
CheckForPet,ANIMAL HEALTH,CheckForPet supports dog and cat owners in finding the right food.,https://www.plugandplaytechcenter.com/startup/checkforpet-de
CHECKTOBUILD,ENERGY,CHECKTOBUILD is an autonomous inspection service to face overbudget and overtime in construction and infrastruture projects. They provide a differential quality and sustainability value.,https://www.plugandplaytechcenter.com/startup/checktobuild-com
Chemia Discovery Inc.,SUSTAINABILITY,Advancing clean energy technologies through accelerated materials R&D.,https://www.plugandplaytechcenter.com/startup/chemiadiscovery-com
Chipper,BRAND & RETAIL,Chipper offers the easiest way to chip away student debt.,https://www.plugandplaytechcenter.com/startup/chipper-app
Chomp Energy,AGTECH,Chomp transforms food waste into valuable resources.,https://www.plugandplaytechcenter.com/startup/chomp-energy
Chromasense Technologies Inc.,FOOD & BEVERAGE,Sensing technologies to develop sensors from sustainable materials for applications in residential and industrial food safety settings,https://www.plugandplaytechcenter.com/startup/chromasense-ca
Chronicled,FOOD & BEVERAGE,"Chronicled builds trust and automation in the life science industry, powered by blockchain",https://www.plugandplaytechcenter.com/startup/chronicled-com
Chunker,ENERGY,"On-demand, short-term warehouse marketplace connecting companies needing temporary space with those that have excess space.",https://www.plugandplaytechcenter.com/startup/chunker-com
Ciaooo,BRAND & RETAIL,"Your energy, your thoughts, your decisions, your actions inherit what is going on in your brain, in your mind. It's time to take care of it.",https://www.plugandplaytechcenter.com/startup/dose-science
Ciba Health,HEALTH,Ciba Health offers a personalized digital therapeutics and virtual care platform. Prevent and reverse chronic disease conditions with personalized holistic healthcare.,https://www.plugandplaytechcenter.com/startup/cibahealth-com
Cios,REAL ESTATE & CONSTRUCTION,"Cios is an online platform that makes renting instant, trustworthy, and personalized",https://www.plugandplaytechcenter.com/startup/cios-so
Circuit Mind,DEEPTECH,AI that can automatically generate and optimize electronic circuit designs.,https://www.plugandplaytechcenter.com/startup/circuitmind-io
Circular IQ,SUSTAINABILITY,Circular IQ is a software platform that helps collect and organize sustainability data.,https://www.plugandplaytechcenter.com/startup/circular-iq-com
Circulor,SUSTAINABILITY,Traceability for complex industrial supply chains. Particular focus on battery materials and circularity,https://www.plugandplaytechcenter.com/startup/circulor-com
Civic,FINTECH,Civic's blockchain based ecosystem gives businesses and individuals the tools to control and protect identities.,https://www.plugandplaytechcenter.com/startup/civic-com
claimit,MOBILITY,Claimit uncovers every hidden cost and error in your shipping invoice.so you can minimise spend.,https://www.plugandplaytechcenter.com/startup/claimit-ai
Clara,BRAND & RETAIL,"Your legal command centre: execute agreements, manage your stakeholders, and make more informed decisions, all from a single platform.",https://www.plugandplaytechcenter.com/startup/clara-co
Clarative,MOBILITY,AI Vendor & Contract Performance,https://www.plugandplaytechcenter.com/startup/clarative-ai
Claryo,SUPPLY CHAIN,"The leading provider of Spatial Generative AI, Claryo is a turnkey way to upgrade your entire warehouse ecosystem",https://www.plugandplaytechcenter.com/startup/claryo-co
Clash,MEDIA & ADVERTISING,"A social video app with internal tools for video creators to earn a living, and communities for fans to come together.",https://www.plugandplaytechcenter.com/startup/clashapp-co
Clear Labs,FOOD & BEVERAGE,Clear Labs provides food analytics while standardizing molecular food quality the global molecular food industry.,https://www.plugandplaytechcenter.com/startup/clearlabs-com
ClearAccessIP,DEEPTECH,ClearAccessIP develops IP management solution that supports critical decision making around patenting and technology transfer.,https://www.plugandplaytechcenter.com/startup/clearaccessip-com
Clearcurrent,ENERGY,"Our platform helps you optimize efficiency, reduce costs, and make informed decisions—all from one centralized platform",https://www.plugandplaytechcenter.com/startup/clearcurrent-ai
Clearlaw,FINTECH,Clearlaw streamlines the contract review process for corporate in-house legal teams.,https://www.plugandplaytechcenter.com/startup/clearlaw-ai
Clearpol,HEALTH,Healthcare Compliance Made Simple,https://www.plugandplaytechcenter.com/startup/clearpol-com
CleoAI,ENTERPRISE & AI,We're building the internal ChatGPT for companies,https://www.plugandplaytechcenter.com/startup/cleoai-tech
Cliente Agente,MEDIA & ADVERTISING,Client Agent is a technology company that offers solutions for Insurance Brokers to increase their presence on the internet,https://www.plugandplaytechcenter.com/startup/clienteagente-com-br
CLIKA,SMART CITIES,"CLIKA compresses and deploys AI models on any hardware with automated, proprietary software.",https://www.plugandplaytechcenter.com/startup/clika-io
ClimateTrade,ENERGY,ClimateTrade is a climate-tech company that offers innovative solutions for companies and individuals seeking to decarbonize and make a positive impact on the planet through carbon offsetting and sustainable initiatives.,https://www.plugandplaytechcenter.com/startup/climatetrade-com
Climaview,FINTECH,Helping lenders track and assess the impact of green loans,https://www.plugandplaytechcenter.com/startup/climaview-co-uk
Cliniserve,HEALTH,Cliniserve changes the way nurses are allocated in hospitals while helping nurses with their daily routines.,https://www.plugandplaytechcenter.com/startup/cliniserve-de
Clio,FINTECH,Clio is a white-labeled AI built for brokerages and RIAs.,https://www.plugandplaytechcenter.com/startup/askclio-ai
CLIPr,MEDIA & ADVERTISING,Find the moments that matter to you by watching less and doing more.,https://www.plugandplaytechcenter.com/startup/clipr-ai
Cloudfret,SUPPLY CHAIN,First trucking network between Europe and Africa,https://www.plugandplaytechcenter.com/startup/cloudfret-com
Cloudwalk,FINTECH,CloudWalk is a digital payment acquirer,https://www.plugandplaytechcenter.com/startup/cloudwalk-io
CO2Brew,FOOD & BEVERAGE,CO2Brew is decarbonizing the brewing industry using carbon capture and utilization technology.,https://www.plugandplaytechcenter.com/startup/co2brew-com
Coala Energy,SUSTAINABILITY,Sustainable heat sources,https://www.plugandplaytechcenter.com/startup/coalaenergy-com
Cobalt,ENERGY,Cobalt is redefining the modern pen test for companies who want serious hacker-like testing built into their development cycle.,https://www.plugandplaytechcenter.com/startup/cobalt-io
Cocomo AI,BRAND & RETAIL,Optimal AI-Driven Marketing for Enterprises,https://www.plugandplaytechcenter.com/startup/cocomo-ai
Codemod Inc.,ENTERPRISE & AI,"Enterprise code migrations, powered by AI agents.",https://www.plugandplaytechcenter.com/startup/codemod-com
COENBIO,GLOBAL OVERSEAS ACCELERATION & LEARNING (GOAL),Providing microbial preparations for environmental purification,https://www.plugandplaytechcenter.com/startup/coenbio-com
Coframe,ENTERPRISE & AI,Coframe brings user interfaces to life.,https://www.plugandplaytechcenter.com/startup/coframe-ai
